 Name                           Version      License                                                                                          
 Babel                          2.10.3       BSD License                                                                                      
 Cartopy                        0.21.0       GNU Lesser General Public License v3 or later (LGPLv3+)                                          
 Fiona                          1.8.21       BSD License                                                                                      
 GDAL                           3.5.1        MIT License                                                                                      
 HeapDict                       1.0.1        BSD License                                                                                      
 Jinja2                         3.1.2        BSD License                                                                                      
 MarkupSafe                     2.1.1        BSD License                                                                                      
 Pillow                         9.2.0        Historical Permission Notice and Disclaimer (HPND)                                               
 PySocks                        1.7.1        BSD                                                                                              
 PyYAML                         6.0          MIT License                                                                                      
 Pygments                       2.13.0       BSD License                                                                                      
 Rtree                          1.0.0        MIT License                                                                                      
 Send2Trash                     1.8.0        BSD License                                                                                      
 Shapely                        1.8.4        BSD License                                                                                      
 affine                         2.3.1        BSD                                                                                              
 anyio                          3.6.1        MIT License                                                                                      
 argon2-cffi                    21.3.0       MIT License                                                                                      
 argon2-cffi-bindings           21.2.0       MIT License                                                                                      
 asttokens                      2.0.8        Apache 2.0                                                                                       
 attrs                          21.4.0       MIT License                                                                                      
 azure-core                     1.25.1       MIT License                                                                                      
 azure-storage-blob             12.14.0b2    MIT License                                                                                      
 backcall                       0.2.0        BSD License                                                                                      
 backports.functools-lru-cache  1.6.4        MIT License                                                                                      
 beautifulsoup4                 4.11.1       MIT License                                                                                      
 bleach                         5.0.1        Apache Software License                                                                          
 bokeh                          2.4.3        BSD License                                                                                      
 boto3                          1.24.77      Apache Software License                                                                          
 botocore                       1.27.77      Apache Software License                                                                          
 brotlipy                       0.7.0        MIT                                                                                              
 cached-property                1.5.2        BSD License                                                                                      
 cachetools                     5.2.0        MIT License                                                                                      
 certifi                        2022.9.14    Mozilla Public License 2.0 (MPL 2.0)                                                             
 cffi                           1.15.1       MIT License                                                                                      
 charset-normalizer             2.1.1        MIT License                                                                                      
 click                          8.1.3        BSD License                                                                                      
 click-plugins                  1.1.1        BSD License                                                                                      
 cligj                          0.7.2        BSD                                                                                              
 cloudpathlib                   0.9.0        MIT License                                                                                      
 cloudpickle                    2.1.0        BSD License                                                                                      
 colorama                       0.4.5        BSD License                                                                                      
 colorlog                       6.7.0        MIT License                                                                                      
 cryptography                   37.0.4       Apache Software License; BSD License                                                             
 cycler                         0.11.0       BSD License                                                                                      
 cytoolz                        0.12.0       BSD License                                                                                      
 dask                           2022.8.1     BSD License                                                                                      
 debugpy                        1.6.3        Eclipse Public License 2.0 (EPL-2.0); MIT License                                                
 decorator                      5.1.1        BSD License                                                                                      
 defusedxml                     0.7.1        Python Software Foundation License                                                               
 descartes                      1.1.0        BSD License                                                                                      
 dill                           0.3.5.1      BSD License                                                                                      
 distributed                    2022.8.1     BSD License                                                                                      
 dl-l8s2-uv                     0.1          UNKNOWN                                                                                          
 docutils                       0.19         BSD License; GNU General Public License (GPL); Public Domain; Python Software Foundation License 
